[2025-03-30 15:12:59,579] 🔵 Starting session for USR-fe4a41ae047940b381e02a1622aee859
[2025-03-30 15:14:20,406] ⏸️ Skipping USR-adceff8e9d8642778aad4ae1fac8da0a — session already running
[2025-03-30 15:14:21,207] ⏸️ Skipping USR-a693a2a815c44b1b8889999d591459d5 — session already running
[2025-03-30 15:14:21,743] 🚀 USR-6d25b9ac65c74e09945fc94cb3df58e4 actions log in session 0
[2025-03-30 15:14:21,743] 🖱️ Mouse hovered for: 2.01s
[2025-03-30 15:14:21,744] 📜 Scrolled for: 14.37s
[2025-03-30 15:14:21,744] 🛒 Viewed cart for: 18.51s
[2025-03-30 15:14:21,744] ✅ Cart checkout time: 4.59s
[2025-03-30 15:14:21,744] 💳 Payment time: 1.52s
[2025-03-30 15:14:22,053] 🚀 USR-b49e19b235c74502add868cdc6a7b19d actions log in session 0
[2025-03-30 15:14:22,053] 🖱️ Mouse hovered for: 0.11s
[2025-03-30 15:14:22,054] 📜 Scrolled for: 0.58s
[2025-03-30 15:14:22,054] 🛒 Viewed cart for: 3.02s
[2025-03-30 15:14:22,054] ✅ Cart checkout time: 3.24s
[2025-03-30 15:14:22,054] 💳 Payment time: 0.06s
[2025-03-30 15:14:22,691] ⏸️ Skipping USR-c764364406e7428cab2ee55ec9e10da3 — session already running
[2025-03-30 15:14:23,575] 🔵 Starting session for USR-5d7af5c850e34bbdaf27f965a5af5a74
[2025-03-30 15:14:23,784] 🚀 USR-93ff2bbeabd145b0aa6b92c344f2e8d6 actions log in session 0
[2025-03-30 15:14:23,784] 🖱️ Mouse hovered for: 5.53s
[2025-03-30 15:14:23,784] 📜 Scrolled for: 17.13s
[2025-03-30 15:14:23,785] 🛒 Viewed cart for: 11.59s
[2025-03-30 15:14:23,785] ✅ Cart checkout time: 11.21s
[2025-03-30 15:14:23,785] 💳 Payment time: 0.0s
[2025-03-30 15:14:23,833] 🛑 Coroutine shutdown signal received.
